ACTIVEC,PRESUACCIDETRASUCE,MUERTES_REPOR_AT,NUEVAPENSIOINVA_R_AT,NUEVAPENSIOINVA_R_EL,INCAPERMAPARCIAR_AT,INCAPERMAPARCIAR_EL,RELA_DEP,RELA_INDEP,TOTAL_TRABAJADORES,TASA_ACCIDENTES,TASA_MUERTES
1841201,670,670,670,3,0,1,374599.0,250618.0,625217.0,1.0716,1.0716
2012201,427,427,427,0,1,0,19834.0,87.0,19921.0,21.4347,21.4347
5051001,425,425,425,0,1,0,36323.0,139.0,36462.0,11.656,11.656
3861001,421,421,421,0,0,0,76870.0,56457.0,133327.0,3.1576,3.1576
2012601,279,279,279,0,0,0,16419.0,404.0,16823.0,16.5844,16.5844
2014101,182,182,182,0,0,0,23141.0,121.0,23262.0,7.8239,7.8239
2016102,153,153,153,0,0,0,26979.0,192.0,27171.0,5.631,5.631
3782001,150,150,150,0,0,0,26115.0,49.0,26164.0,5.7331,5.7331
5411101,130,130,130,0,0,0,72231.0,852.0,73083.0,1.7788,1.7788
1970001,129,129,129,0,0,0,86340.0,641.0,86981.0,1.4831,1.4831
5842403,123,123,123,0,0,0,18056.0,333.0,18389.0,6.6888,6.6888
3360001,122,122,122,0,0,0,19834.0,4422.0,24256.0,5.0297,5.0297
1855101,106,106,106,0,0,0,79521.0,35828.0,115349.0,0.919,0.919
2015001,104,104,104,0,0,0,12038.0,145.0,12183.0,8.5365,8.5365
1854401,96,96,96,1,0,0,97560.0,10206.0,107766.0,0.8908,0.8908
5421001,95,95,95,0,0,0,28196.0,390.0,28586.0,3.3233,3.3233
5842404,78,78,78,1,0,0,22770.0,216.0,22986.0,3.3934,3.3934
5711001,75,75,75,0,1,0,67817.0,2051.0,69868.0,1.0735,1.0735
5842401,74,74,74,0,0,0,39416.0,1274.0,40690.0,1.8186,1.8186
2812101,73,73,73,0,0,0,13372.0,67.0,13439.0,5.432,5.432
2016103,72,72,72,0,0,0,8678.0,52.0,8730.0,8.2474,8.2474
2014501,72,72,72,0,0,0,8489.0,63.0,8552.0,8.4191,8.4191
5429001,72,72,72,0,0,0,30759.0,1849.0,32608.0,2.208,2.208
2472301,70,70,70,0,0,0,10822.0,40.0,10862.0,6.4445,6.4445
2851101,67,67,67,0,0,0,32033.0,4828.0,36861.0,1.8176,1.8176
5072202,66,66,66,1,0,0,4703.0,74.0,4777.0,13.8162,13.8162
4012401,63,63,63,0,3,0,7560.0,44.0,7604.0,8.2851,8.2851
1471101,62,62,62,0,0,0,22059.0,155.0,22214.0,2.791,2.791
1854301,61,61,61,0,0,0,67239.0,8597.0,75836.0,0.8044,0.8044
3561101,58,58,58,0,0,0,16026.0,222.0,16248.0,3.5697,3.5697
2014401,58,58,58,0,0,0,6194.0,31.0,6225.0,9.3173,9.3173
2011101,54,54,54,0,0,0,4743.0,30.0,4773.0,11.3136,11.3136
3108401,54,54,54,0,0,0,18551.0,103.0,18654.0,2.8948,2.8948
2811001,51,51,51,0,0,0,16485.0,94.0,16579.0,3.0762,3.0762
3108101,48,48,48,0,0,0,12747.0,100.0,12847.0,3.7363,3.7363
2012701,47,47,47,0,0,0,7040.0,55.0,7095.0,6.6244,6.6244
1949902,46,46,46,0,0,0,14283.0,3705.0,17988.0,2.5573,2.5573
4239201,46,46,46,0,0,0,3380.0,56.0,3436.0,13.3877,13.3877
4466301,41,41,41,0,0,0,7030.0,54.0,7084.0,5.7877,5.7877
4492101,39,39,39,0,0,0,19121.0,229.0,19350.0,2.0155,2.0155
2853001,39,39,39,0,0,0,41147.0,992.0,42139.0,0.9255,0.9255
2551101,37,37,37,0,0,0,10629.0,71.0,10700.0,3.4579,3.4579
1829902,36,36,36,0,0,0,2700.0,32887.0,35587.0,1.0116,1.0116
1949101,36,36,36,0,0,0,12645.0,718.0,13363.0,2.694,2.694
5251101,35,35,35,0,0,0,10813.0,126.0,10939.0,3.1996,3.1996
2012101,33,33,33,1,0,0,3568.0,90.0,3658.0,9.0213,9.0213
1841203,33,33,33,0,0,0,16885.0,30.0,16915.0,1.9509,1.9509
3942001,33,33,33,0,0,0,5498.0,3467.0,8965.0,3.681,3.681
1681001,33,33,33,0,0,0,15395.0,186.0,15581.0,2.118,2.118
1477301,33,33,33,0,0,0,16482.0,54.0,16536.0,1.9956,1.9956
1841301,33,33,33,0,0,1,11409.0,11825.0,23234.0,1.4203,1.4203
1823001,33,33,33,0,0,0,16783.0,2996.0,19779.0,1.6684,1.6684
1889001,32,32,32,0,0,0,9148.0,1852.0,11000.0,2.9091,2.9091
5072201,32,32,32,0,0,0,3678.0,9.0,3687.0,8.6791,8.6791
4101101,31,31,31,0,0,0,2335.0,24.0,2359.0,13.1412,13.1412
1463101,31,31,31,0,0,0,8799.0,207.0,9006.0,3.4421,3.4421
2014102,30,30,30,0,0,0,3473.0,49.0,3522.0,8.5179,8.5179
4107101,30,30,30,0,0,0,7782.0,8.0,7790.0,3.8511,3.8511
3105101,30,30,30,0,0,0,5395.0,101.0,5496.0,5.4585,5.4585
4103001,28,28,28,0,0,0,3837.0,162.0,3999.0,7.0018,7.0018
3012501,28,28,28,0,0,0,4319.0,19.0,4338.0,6.4546,6.4546
5351301,27,27,27,0,0,0,8993.0,50.0,9043.0,2.9857,2.9857
5842201,26,26,26,0,0,0,9860.0,363.0,10223.0,2.5433,2.5433
3931202,26,26,26,0,0,0,1271.0,12.0,1283.0,20.265,20.265
1682001,25,25,25,1,0,0,12306.0,224.0,12530.0,1.9952,1.9952
2750001,25,25,25,0,0,0,4088.0,43.0,4131.0,6.0518,6.0518
5390001,25,25,25,0,0,0,2594.0,59.0,2653.0,9.4233,9.4233
2466301,24,24,24,0,0,0,9387.0,69.0,9456.0,2.5381,2.5381
1701001,24,24,24,0,0,0,19342.0,1160.0,20502.0,1.1706,1.1706
5432201,24,24,24,0,0,0,9166.0,227.0,9393.0,2.5551,2.5551
3107201,24,24,24,0,0,0,1330.0,9.0,1339.0,17.9238,17.9238
3453001,23,23,23,0,0,0,11486.0,83.0,11569.0,1.9881,1.9881
3311001,23,23,23,0,0,0,4806.0,158.0,4964.0,4.6334,4.6334
3561901,23,23,23,0,0,0,8706.0,223.0,8929.0,2.5759,2.5759
5351201,22,22,22,0,0,0,4018.0,1665.0,5683.0,3.8712,3.8712
5422001,22,22,22,0,0,0,5516.0,145.0,5661.0,3.8862,3.8862
2462001,22,22,22,0,0,0,3761.0,53.0,3814.0,5.7682,5.7682
3331201,21,21,21,0,0,0,7196.0,95.0,7291.0,2.8803,2.8803
4475201,21,21,21,0,0,0,4538.0,41.0,4579.0,4.5862,4.5862
4492301,21,21,21,0,0,0,19431.0,329.0,19760.0,1.0628,1.0628
1949901,20,20,20,0,0,0,6182.0,4033.0,10215.0,1.9579,1.9579
2862101,20,20,20,0,0,0,12751.0,2808.0,15559.0,1.2854,1.2854
1841501,20,20,20,0,0,0,9802.0,3006.0,12808.0,1.5615,1.5615
3562901,20,20,20,0,0,0,6390.0,555.0,6945.0,2.8798,2.8798
2475201,19,19,19,0,0,0,5535.0,31.0,5566.0,3.4136,3.4136
2843001,19,19,19,0,0,0,14234.0,530.0,14764.0,1.2869,1.2869
3222901,19,19,19,0,0,0,3683.0,13.0,3696.0,5.1407,5.1407
3381101,19,19,19,0,0,0,2320.0,129.0,2449.0,7.7583,7.7583
1464501,18,18,18,0,0,0,9919.0,150.0,10069.0,1.7877,1.7877
1469001,18,18,18,0,0,0,4769.0,61.0,4830.0,3.7267,3.7267
5433003,18,18,18,0,0,0,13488.0,201.0,13689.0,1.3149,1.3149
4107102,17,17,17,0,0,0,3457.0,5.0,3462.0,4.9105,4.9105
3522401,17,17,17,0,0,0,4446.0,425.0,4871.0,3.49,3.49
5433001,17,17,17,0,0,0,23095.0,144.0,23239.0,0.7315,0.7315
3721001,16,16,16,0,0,0,1329.0,2389.0,3718.0,4.3034,4.3034
3382101,16,16,16,0,0,0,1653.0,166.0,1819.0,8.796,8.796
1471901,16,16,16,0,0,0,7483.0,22.0,7505.0,2.1319,2.1319
1472201,16,16,16,0,0,0,2831.0,46.0,2877.0,5.5613,5.5613
3104001,16,16,16,0,0,0,2072.0,15.0,2087.0,7.6665,7.6665
3931101,16,16,16,0,0,0,1565.0,191.0,1756.0,9.1116,9.1116
5411201,16,16,16,0,0,0,7412.0,1241.0,8653.0,1.8491,1.8491
4869901,15,15,15,0,0,0,2611.0,1695.0,4306.0,3.4835,3.4835
5439002,15,15,15,0,0,0,2953.0,46.0,2999.0,5.0017,5.0017
1454101,15,15,15,0,0,0,7081.0,33.0,7114.0,2.1085,2.1085
5082001,15,15,15,0,0,0,2101.0,15.0,2116.0,7.0888,7.0888
2471901,14,14,14,0,0,0,6195.0,45.0,6240.0,2.2436,2.2436
3869101,14,14,14,0,0,0,7650.0,611.0,8261.0,1.6947,1.6947
3931201,14,14,14,0,0,0,1835.0,2307.0,4142.0,3.38,3.38
4432101,14,14,14,0,0,0,4487.0,141.0,4628.0,3.0251,3.0251
1841401,14,14,14,0,0,0,2982.0,7143.0,10125.0,1.3827,1.3827
2012602,14,14,14,0,0,0,1014.0,0.0,1014.0,13.8067,13.8067
5522301,13,13,13,0,0,0,3621.0,895.0,4516.0,2.8787,2.8787
2472101,13,13,13,1,0,0,5618.0,76.0,5694.0,2.2831,2.2831
5191001,13,13,13,0,0,0,2268.0,13.0,2281.0,5.6993,5.6993
2862102,13,13,13,0,0,0,5837.0,642.0,6479.0,2.0065,2.0065
3475201,13,13,13,0,0,0,2996.0,4.0,3000.0,4.3333,4.3333
1561301,13,13,13,0,0,0,4331.0,35.0,4366.0,2.9776,2.9776
5842302,12,12,12,0,0,0,4586.0,589.0,5175.0,2.3188,2.3188
1702001,12,12,12,0,0,0,14726.0,600.0,15326.0,0.783,0.783
4801001,12,12,12,0,0,0,6888.0,272.0,7160.0,1.676,1.676
3473101,12,12,12,0,0,0,8443.0,39.0,8482.0,1.4148,1.4148
1477101,12,12,12,0,0,0,15091.0,26.0,15117.0,0.7938,0.7938
3251101,12,12,12,0,0,0,2488.0,49.0,2537.0,4.73,4.73
4452001,12,12,12,0,0,0,7255.0,202.0,7457.0,1.6092,1.6092
1691001,11,11,11,0,0,0,13630.0,243.0,13873.0,0.7929,0.7929
2652101,11,11,11,0,0,0,4701.0,510.0,5211.0,2.1109,2.1109
2016101,11,11,11,0,1,0,3270.0,162.0,3432.0,3.2051,3.2051
5812901,11,11,11,0,0,0,5446.0,282.0,5728.0,1.9204,1.9204
1641201,11,11,11,1,0,0,9393.0,16.0,9409.0,1.1691,1.1691
2141001,11,11,11,0,0,0,7759.0,48.0,7807.0,1.409,1.409
2465301,11,11,11,0,0,0,2975.0,15.0,2990.0,3.6789,3.6789
3161001,11,11,11,0,0,0,1780.0,133.0,1913.0,5.7501,5.7501
5051002,11,11,11,0,0,0,5887.0,4.0,5891.0,1.8673,1.8673
2012301,11,11,11,0,0,0,1982.0,31.0,2013.0,5.4645,5.4645
5522401,11,11,11,0,0,0,3793.0,17.0,3810.0,2.8871,2.8871
5383001,11,11,11,0,0,0,1351.0,5.0,1356.0,8.1121,8.1121
2101101,10,10,10,0,0,0,1593.0,17.0,1610.0,6.2112,6.2112
2014502,10,10,10,0,0,0,1456.0,37.0,1493.0,6.6979,6.6979
4522901,10,10,10,0,0,0,3020.0,1833.0,4853.0,2.0606,2.0606
2812901,10,10,10,0,0,0,3736.0,3.0,3739.0,2.6745,2.6745
4016101,10,10,10,0,0,0,3058.0,41.0,3099.0,3.2268,3.2268
2032201,10,10,10,0,0,0,1592.0,36.0,1628.0,6.1425,6.1425
3383001,10,10,10,0,0,0,1185.0,37.0,1222.0,8.1833,8.1833
2960301,10,10,10,0,0,0,1920.0,47.0,1967.0,5.0839,5.0839
4139901,10,10,10,0,0,0,911.0,3.0,914.0,10.9409,10.9409
4103002,10,10,10,0,0,0,884.0,0.0,884.0,11.3122,11.3122
2862201,10,10,10,0,0,0,6119.0,148.0,6267.0,1.5957,1.5957
1466101,10,10,10,0,0,0,1440.0,27.0,1467.0,6.8166,6.8166
2461002,9,9,9,0,0,0,3011.0,115.0,3126.0,2.8791,2.8791
1476101,9,9,9,0,0,0,5174.0,38.0,5212.0,1.7268,1.7268
5331201,9,9,9,0,0,0,2552.0,24.0,2576.0,3.4938,3.4938
1841101,9,9,9,0,0,0,2229.0,3175.0,5404.0,1.6654,1.6654
4259901,9,9,9,0,0,0,1813.0,45.0,1858.0,4.8439,4.8439
2101102,9,9,9,0,0,0,687.0,0.0,687.0,13.1004,13.1004
5161001,9,9,9,0,0,0,873.0,6.0,879.0,10.2389,10.2389
3452001,9,9,9,0,0,0,2576.0,97.0,2673.0,3.367,3.367
1749001,9,9,9,0,0,0,12195.0,2267.0,14462.0,0.6223,0.6223
1472301,9,9,9,0,0,0,1866.0,8.0,1874.0,4.8026,4.8026
3152101,8,8,8,0,0,0,1946.0,6.0,1952.0,4.0984,4.0984
3163001,8,8,8,0,0,0,832.0,21.0,853.0,9.3787,9.3787
1141001,8,8,8,0,0,0,4061.0,43.0,4104.0,1.9493,1.9493
1475901,8,8,8,0,0,0,7894.0,456.0,8350.0,0.9581,0.9581
5081101,8,8,8,0,0,0,3371.0,76.0,3447.0,2.3209,2.3209
1462001,8,8,8,0,0,0,1599.0,165.0,1764.0,4.5351,4.5351
1920001,8,8,8,0,0,0,7528.0,732.0,8260.0,0.9685,0.9685
3551101,8,8,8,0,0,0,2245.0,21.0,2266.0,3.5305,3.5305
3312001,8,8,8,0,0,0,1076.0,4.0,1080.0,7.4074,7.4074
1462003,8,8,8,0,0,0,1159.0,12.0,1171.0,6.8318,6.8318
2463201,8,8,8,0,0,0,2570.0,40.0,2610.0,3.0651,3.0651
5439004,8,8,8,0,0,0,4573.0,33.0,4606.0,1.7369,1.7369
3101203,7,7,7,0,0,0,607.0,1.0,608.0,11.5132,11.5132
5813001,7,7,7,0,0,0,1622.0,30.0,1652.0,4.2373,4.2373
1854101,7,7,7,0,0,0,17494.0,1213.0,18707.0,0.3742,0.3742
2821101,7,7,7,0,0,0,2866.0,144.0,3010.0,2.3256,2.3256
5163001,7,7,7,0,0,0,999.0,61.0,1060.0,6.6038,6.6038
3221901,7,7,7,0,0,0,971.0,5.0,976.0,7.1721,7.1721
1473201,7,7,7,0,0,0,1792.0,6.0,1798.0,3.8932,3.8932
4531001,7,7,7,0,0,0,4686.0,16.0,4702.0,1.4887,1.4887
1466401,7,7,7,0,0,0,3349.0,24.0,3373.0,2.0753,2.0753
3108901,7,7,7,0,0,0,1492.0,24.0,1516.0,4.6174,4.6174
1461001,7,7,7,0,0,0,896.0,5.0,901.0,7.7691,7.7691
3360002,7,7,7,0,0,0,559.0,37.0,596.0,11.745,11.745
3109001,7,7,7,0,0,0,810.0,17.0,827.0,8.4643,8.4643
2873001,7,7,7,0,0,0,1063.0,151.0,1214.0,5.7661,5.7661
5433002,7,7,7,0,0,0,1473.0,21.0,1494.0,4.6854,4.6854
2011201,7,7,7,0,0,0,1309.0,16.0,1325.0,5.283,5.283
1475401,6,6,6,0,0,0,1865.0,26.0,1891.0,3.1729,3.1729
4331201,6,6,6,0,0,0,1130.0,123.0,1253.0,4.7885,4.7885
3104002,6,6,6,0,0,0,981.0,8.0,989.0,6.0667,6.0667
2477401,6,6,6,0,0,0,1379.0,20.0,1399.0,4.2888,4.2888
4110101,6,6,6,0,0,0,767.0,110.0,877.0,6.8415,6.8415
4222101,6,6,6,0,0,0,867.0,9.0,876.0,6.8493,6.8493
3102001,6,6,6,0,0,0,754.0,5.0,759.0,7.9051,7.9051
4239501,6,6,6,0,0,0,699.0,39.0,738.0,8.1301,8.1301
3466501,6,6,6,0,0,0,1760.0,5.0,1765.0,3.3994,3.3994
3611001,6,6,6,0,0,0,1747.0,69.0,1816.0,3.304,3.304
3210001,6,6,6,0,0,0,1707.0,3.0,1710.0,3.5088,3.5088
1472401,6,6,6,0,0,0,1225.0,2.0,1227.0,4.89,4.89
2011301,6,6,6,0,0,0,942.0,39.0,981.0,6.1162,6.1162
4161001,6,6,6,0,0,0,712.0,28.0,740.0,8.1081,8.1081
1475201,6,6,6,0,0,0,6010.0,17.0,6027.0,0.9955,0.9955
5351101,6,6,6,0,0,0,2224.0,130.0,2354.0,2.5489,2.5489
5072203,6,6,6,0,0,0,262.0,0.0,262.0,22.9008,22.9008
2551901,6,6,6,0,0,0,846.0,48.0,894.0,6.7114,6.7114
1852301,6,6,6,0,0,0,8114.0,37.0,8151.0,0.7361,0.7361
5431202,6,6,6,0,0,0,3086.0,48.0,3134.0,1.9145,1.9145
1651101,6,6,6,0,0,0,4749.0,1120.0,5869.0,1.0223,1.0223
2561201,5,5,5,0,0,0,3300.0,51.0,3351.0,1.4921,1.4921
2108901,5,5,5,0,0,0,2396.0,34.0,2430.0,2.0576,2.0576
2024001,5,5,5,0,0,0,961.0,62.0,1023.0,4.8876,4.8876
3932901,5,5,5,0,0,0,5570.0,305.0,5875.0,0.8511,0.8511
2104001,5,5,5,0,0,0,1162.0,3.0,1165.0,4.2918,4.2918
1731001,5,5,5,0,0,0,9131.0,537.0,9668.0,0.5172,0.5172
3432101,5,5,5,0,0,0,2631.0,49.0,2680.0,1.8657,1.8657
5051003,5,5,5,0,0,0,498.0,2.0,500.0,10.0,10.0
5411202,5,5,5,0,0,0,918.0,771.0,1689.0,2.9603,2.9603
1472901,5,5,5,0,0,0,1703.0,6.0,1709.0,2.9257,2.9257
2102001,5,5,5,0,0,0,714.0,9.0,723.0,6.9156,6.9156
5432901,5,5,5,0,0,0,1517.0,33.0,1550.0,3.2258,3.2258
2553001,5,5,5,0,0,0,1740.0,2.0,1742.0,2.8703,2.8703
4201201,5,5,5,0,0,0,470.0,8.0,478.0,10.4603,10.4603
4259902,5,5,5,0,0,0,577.0,14.0,591.0,8.4602,8.4602
2465902,5,5,5,0,0,0,618.0,2.0,620.0,8.0645,8.0645
4370001,5,5,5,0,0,0,1218.0,429.0,1647.0,3.0358,3.0358
1851301,5,5,5,0,0,0,4218.0,446.0,4664.0,1.072,1.072
2461001,5,5,5,0,0,0,787.0,3.0,790.0,6.3291,6.3291
1464201,5,5,5,0,0,0,2549.0,11.0,2560.0,1.9531,1.9531
4492102,5,5,5,0,0,0,2635.0,191.0,2826.0,1.7693,1.7693
4812902,5,5,5,0,0,0,1644.0,2.0,1646.0,3.0377,3.0377
4351401,5,5,5,0,0,0,1548.0,80.0,1628.0,3.0713,3.0713
2829201,5,5,5,0,0,0,1821.0,1.0,1822.0,2.7442,2.7442
3164001,5,5,5,0,0,0,272.0,7.0,279.0,17.9211,17.9211
3612001,5,5,5,0,0,0,1371.0,74.0,1445.0,3.4602,3.4602
5241005,5,5,5,0,0,0,365.0,2.0,367.0,13.624,13.624
5801001,5,5,5,0,0,0,707.0,7.0,714.0,7.0028,7.0028
1472902,4,4,4,0,0,0,1705.0,6.0,1711.0,2.3378,2.3378
4293001,4,4,4,0,0,0,1116.0,7.0,1123.0,3.5619,3.5619
2813001,4,4,4,0,0,0,838.0,13.0,851.0,4.7004,4.7004
5243201,4,4,4,0,0,0,517.0,4.0,521.0,7.6775,7.6775
1941101,4,4,4,0,0,0,4015.0,182.0,4197.0,0.9531,0.9531
1841205,4,4,4,0,0,0,1237.0,291.0,1528.0,2.6178,2.6178
3292001,4,4,4,0,0,0,631.0,3.0,634.0,6.3091,6.3091
3562101,4,4,4,0,0,0,1790.0,11.0,1801.0,2.221,2.221
2170901,4,4,4,0,1,0,1729.0,9.0,1738.0,2.3015,2.3015
1841204,4,4,4,0,0,0,1455.0,2158.0,3613.0,1.1071,1.1071
2855201,4,4,4,0,0,0,1364.0,1142.0,2506.0,1.5962,1.5962
3152301,4,4,4,0,0,0,637.0,1.0,638.0,6.2696,6.2696
1471102,4,4,4,0,0,0,3863.0,32.0,3895.0,1.027,1.027
1829901,4,4,4,0,0,0,5130.0,91.0,5221.0,0.7661,0.7661
2108102,4,4,4,0,0,0,584.0,21.0,605.0,6.6116,6.6116
3131301,4,4,4,0,0,0,524.0,1.0,525.0,7.619,7.619
5439001,4,4,4,0,0,0,2581.0,87.0,2668.0,1.4993,1.4993
2563001,4,4,4,0,0,0,2214.0,12.0,2226.0,1.7969,1.7969
1651201,4,4,4,0,0,0,1661.0,27.0,1688.0,2.3697,2.3697
3561201,4,4,4,0,0,0,1858.0,5.0,1863.0,2.1471,2.1471
2773005,4,4,4,0,0,0,1002.0,18.0,1020.0,3.9216,3.9216
1642401,4,4,4,0,0,0,4399.0,903.0,5302.0,0.7544,0.7544
3110401,4,4,4,0,0,0,1204.0,6.0,1210.0,3.3058,3.3058
1631101,4,4,4,0,0,0,901.0,140.0,1041.0,3.8425,3.8425
2522101,4,4,4,1,0,0,1425.0,12.0,1437.0,2.7836,2.7836
2619001,4,4,4,0,0,0,1657.0,55.0,1712.0,2.3364,2.3364
5081201,4,4,4,0,0,0,175.0,1.0,176.0,22.7273,22.7273
2016201,4,4,4,0,0,0,1049.0,11.0,1060.0,3.7736,3.7736
1477402,4,4,4,0,0,0,2323.0,10.0,2333.0,1.7145,1.7145
1474201,4,4,4,0,0,0,2862.0,20.0,2882.0,1.3879,1.3879
5421002,4,4,4,0,0,0,2340.0,55.0,2395.0,1.6701,1.6701
5072901,4,4,4,0,0,0,107.0,3.0,110.0,36.3636,36.3636
1475301,4,4,4,0,0,0,1370.0,7.0,1377.0,2.9049,2.9049
4429001,4,4,4,0,0,0,4796.0,11.0,4807.0,0.8321,0.8321
1711001,4,4,4,0,0,0,6781.0,430.0,7211.0,0.5547,0.5547
4162001,4,4,4,0,0,0,156.0,1.0,157.0,25.4777,25.4777
3108201,3,3,3,0,0,0,823.0,2.0,825.0,3.6364,3.6364
2773006,3,3,3,0,0,0,329.0,4.0,333.0,9.009,9.009
3108904,3,3,3,0,0,0,258.0,4.0,262.0,11.4504,11.4504
2331201,3,3,3,0,0,0,885.0,9.0,894.0,3.3557,3.3557
3581901,3,3,3,0,0,0,973.0,7.0,980.0,3.0612,3.0612
3110403,3,3,3,0,0,0,134.0,0.0,134.0,22.3881,22.3881
5089101,3,3,3,0,0,0,152.0,1.0,153.0,19.6078,19.6078
2879001,3,3,3,0,0,0,432.0,1071.0,1503.0,1.996,1.996
5089902,3,3,3,0,0,0,274.0,3.0,277.0,10.8303,10.8303
5061001,3,3,3,0,0,0,616.0,34.0,650.0,4.6154,4.6154
3139202,3,3,3,0,0,0,122.0,0.0,122.0,24.5902,24.5902
3433001,3,3,3,0,0,0,1047.0,78.0,1125.0,2.6667,2.6667
3101202,3,3,3,0,0,0,264.0,3.0,267.0,11.236,11.236
3581101,3,3,3,0,0,0,650.0,40.0,690.0,4.3478,4.3478
4202907,3,3,3,0,0,0,269.0,0.0,269.0,11.1524,11.1524
5051004,3,3,3,0,0,0,195.0,0.0,195.0,15.3846,15.3846
